business_name,street_address,city,state,zip,phone,website,google_rating,review_count,hours_monday,hours_tuesday,hours_wednesday,hours_thursday,hours_friday,hours_saturday,hours_sunday,latitude,longitude
2025 Fleet Feet Windsor 5K/10K/Half Marathon Training,,Santa Rosa,CA,95405,,,,,,,,,,,,,
2026 Modesto Moves Membership &amp; Training SIGNUPS,,Modesto,CA,95356,,,,,,,,,,,,,
2026 ShadowChase CLUB MEMBERSHIP  &amp; Training Team REGISTRATION,,Modesto,CA,95352,,,,,,,,,,,,,
Activitynut Club,,Fresno,CA,93720,,,,,,,,,,,,,
All Things Running,,Dana Point,CA,92629,,http://jessica.allthingsrunning@gmail.com,,,,,,,,,,,
Anatolia Runs,,Rancho Cordova,CA,95742,,,,,,,,,,,,,
Annadel 5K/10K/Half Marathon Training 2024,,Santa Rosa,CA,95404,,,,,,,,,,,,,
Bakersfield Track Club,,Bakersfield,CA,93390,,,,,,,,,,,,,
BayLands FrontRunners RSU-TEST,,Palo Alto,CA,94303,,,,,,,,,,,,,
Beg Trail Group -- 10K distance -- Fall 2021,,Santa Rosa,CA,95405,,,,,,,,,,,,,
Beg-Int Trail Group (April &amp; May),,Santa Rosa,CA,95401,,,,,,,,,,,,,
Blend Fitness,,Morgan Hill,CA,95037,,,,,,,,,,,,,
Blissful Babe Run Club,,Modesto,CA,95350,,,,,,,,,,,,,
Bolting Bears Kids Club Fall 2019-Level 1,,Hathaway Pines,CA,95233,,http://www.boltingbears.com,,,,,,,,,,,
California Fall Classic 55KM and 100KM Training Camp,,Santa Rosa,CA,95401,,,,,,,,,,,,,
California International Marathon (CIM) Training,,Santa Rosa,CA,95405,,http://fleetfeetsantarosa.com,,,,,,,,,,,
Chico Running Club,,Chico,CA,95927,,,,,,,,,,,,,
Classic Running Club,,Fresno,CA,93722,,,,,,,,,,,,,
Clo Cow 5K and Half Marathon 2023,,Santa Rosa,CA,95404,,http://Fleetfeetsantarosa.com,,,,,,,,,,,
Club 262,,Norco,CA,92860,,,,,,,,,,,,,
Coach Kitzzy,,San Francisco,CA,94123,,,,,,,,,,,,,
Delta Limitless,,Brentwood,CA,94513,,http://eteamz.com/deltalimitless,,,,,,,,,,,
Digital Tamil Nadu,,Los Angeles,CA,90002,,,,,,,,,,,,,
Dolphin South End Runners,,San Francisco,CA,94121,,http://www.dserunners.com,,,,,,,,,,,
Donner Party Mountain Runners,,Truckee,CA,96160,,https://www.DonnerPartyMountainRunners.com,,,,,,,,,,,
Dusty Bottoms Trail Runners,,Modesto,CA,95350,,,,,,,,,,,,,
East Bay Front Runners and Walkers,,Oakland,CA,94601,,,,,,,,,,,,,
Edenvale Runners Club,,San Jose,CA,95111,,,,,,,,,,,,,
Empresa Run Club,,RSM,CA,92688,,,,,,,,,,,,,
Fleet Feet Downtown Pub Runs,,Santa Rosa,CA,95404,,http://fleetfeetsantarosa,,,,,,,,,,,
Fleet Feet Fall 2024 Training,,Santa Rosa,CA,95404,,,,,,,,,,,,,
Fleet Feet Fall Trail Running Intermediate Group,,Santa Rosa,CA,95404,,,,,,,,,,,,,
Fleet Feet Fun Runs at Barlow Center,,Sebastopol,CA,95472,,http://fleetfeetsantarosa,,,,,,,,,,,
Fleet Feet Salt Point Running Club,,Santa Rosa,CA,95404,,http://www.Fleetfeetsantarosa.com,,,,,,,,,,,
Fleet Feet Santa Rosa Trail Group,,Santa Rosa,CA,95404,,,,,,,,,,,,,
Fleet Feet SPRING Trail Running Group 10KM and Half Marathon distances,,Santa Rosa,CA,95401,,,,,,,,,,,,,
Freedom Running,,Hanford,CA,93230,,https://www.artleticapparel.com/collections/freedom-running-brand?_pos=1&amp;_psq=freed&amp;_ss=e&amp;_v=1.0,,,,,,,,,,,
G3 Health &amp; Wellness Solutions,,Loma Linda,CA,92354,,,,,,,,,,,,,
G3 Health Solutions,,Loma Linda,CA,92354,,,,,,,,,,,,,
Golden Gate Running Club,,San Francisco,CA,94114,,,,,,,,,,,,,
Grizzly Peak Cyclists,,Walnut Creek,CA,94597,,,,,,,,,,,,,
H&amp;S Run Club,,Santa Rosa,CA,95405,,,,,,,,,,,,,
Hallowine Half Marathon and 10K,,Santa Rosa,CA,95404,,http://www.Fleetfeetsantarosa.com,,,,,,,,,,,
HAWKS ATHLETIC SPORTS,,Southern California,CA,91740,,http://www.HawksTrackClub.com,,,,,,,,,,,
High Desert Runners,,Lancaster,CA,93539,,,,,,,,,,,,,
IBProFun Run Club,,Bakersfield,CA,93312,,,,,,,,,,,,,
Inside Track Running Club,,Ventura,CA,93001,,http://www.insidetrackventura.com,,,,,,,,,,,
Iwakuni Youth Road Runners,,FPO,CA,96310,,,,,,,,,,,,,
Joe&#039;s Running Club,,demo,CA,95616,,http://rusignup.com,,,,,,,,,,,
Kids from Union,,McKinleyville,CA,95519,,,,,,,,,,,,,
Kids Run the Nation Program Template,,Northridge,CA,91324,,http://www.GettingKidsFit.com,,,,,,,,,,,
LA Running School,,Pasadena,CA,91105,,,,,,,,,,,,,
LLA Roadrunners Run Club,,Redlands,CA,92373,,,,,,,,,,,,,
Los Angeles Frontrunners,,Los Angeles,CA,90039,,,,,,,,,,,,,
Los Angeles Running Club,,Los Angeles,CA,90034,,https://www.strava.com/dashboard,,,,,,,,,,,
Marathon Training Wild Runners,,Fair Oaks,CA,95628,,,,,,,,,,,,,
Mendocino Half Marathon &amp; 10K Trail Training,,Santa Rosa,CA,95404,,http://ffsantarosa.com,,,,,,,,,,,
Merced Running Club,,Merced,CA,95344,,,,,,,,,,,,,
Mighty Youth Runners,,Los Altos,CA,94024,,http://www.mightyyouthrunners.com,,,,,,,,,,,
Mindful Pace Run Coaching,,"Sunnyvale, CA",CA,94085,,,,,,,,,,,,,
New Basin Blues Running Club,,Woodland Hills,CA,91365,,,,,,,,,,,,,
NoBoundaries 5K,,Santa Rosa,CA,95405,,http://www.fleetfeetsantarosa.com,,,,,,,,,,,
North Coast Striders,,Ukiah,CA,95482,,,,,,,,,,,,,
orange county track club,,Anaheim,CA,92806,,http://www.orangecountytrackclub,,,,,,,,,,,
Over the Hill Track Club,,Ridgecrest,CA,93556,,,,,,,,,,,,,
Palm Springs Track Club,,Palm Springs,CA,92262,,,,,,,,,,,,,
Pedestrian Nation,,Bakersfield,CA,93301,,https://andynoise.com/pedestrian-nation/,,,,,,,,,,,
River City Rebels,,Sacramento,CA,95816,,,,,,,,,,,,,
River City Rebels Training,,Sacramento,CA,95820,,,,,,,,,,,,,
Riverside Road Runners,,Riverside,CA,92516,,,,,,,,,,,,,
Runners for Public Lands,,Ventura,CA,93001,,http://www.runnersforpubliclands.org,,,,,,,,,,,
Runners4charity,,simi valley,CA,93065,,,,,,,,,,,,,
Running.Besties,,Fontana,CA,92336,,,,,,,,,,,,,
Sacred Heart Run Club,,Palm Desert,CA,92260,,,,,,,,,,,,,
SACTOWN RUNNING,,Sacramento,CA,95818,,,,,,,,,,,,,
San Diego Beachside Runners,,San Diego,CA,92111,,,,,,,,,,,,,
San Joaquin Trail Runners,,Fresno,CA,93730,,,,,,,,,,,,,
Santa Barbara Cruisers (SBC) - Running Camp/Club,,Santa Barbara,CA,93117,,,,,,,,,,,,,
Santa Clarita Runners Club,,Santa Clarita,CA,95010,,,,,,,,,,,,,
Santa Cruz Track Club Youth Program,,Santa Cruz,CA,95062,,,,,,,,,,,,,
Santa Rosa Intermediate Trail Group (April and May),,Santa Rosa,CA,95401,,,,,,,,,,,,,
Santa Rosa Marathon 13.1 M/10K/5K Training,,Santa Rosa,CA,95404,,http://www.Fleetfeetsantarosa.com,,,,,,,,,,,
SDCCS Running Club 2014-15,,San Diego,CA,92111,,,,,,,,,,,,,
Sean&#039;s Club,,Berkeley,CA,94709,,http://www.sbrient.com,,,,,,,,,,,
Seaside Striders 2020 Spring Run Club,,Encinitas,CA,92024,,http://www.seasidestridersrunningclub.com,,,,,,,,,,,
Seaside Striders 2022 Spring Session,,Encinitas,CA,92024,,http://www.seasidestridersrunningclub.com,,,,,,,,,,,
Seaside Striders 2022 Summer Run Club,,"Encinitas,",CA,92024,,http://www.seasidestridersrunningclub.com,,,,,,,,,,,
Seaside Striders 2022 Winter Run Club,,Encinitas,CA,92024,,http://www.seasidestridersrunningclub.com,,,,,,,,,,,
Seaside Striders 2023 Spring Run Club,,Encinitas,CA,92024,,http://www.seasidestridersrunningclub.com,,,,,,,,,,,
Seaside Striders 2023 Winter Run Club,,Encinitas,CA,92024,,http://seasidestridersrunningclub.com,,,,,,,,,,,
Seaside Striders Early Spring Run Club,,Encinitas,CA,92024,,http://www.seasidestridersrunningclub.com,,,,,,,,,,,
Seaside Striders Early Summer Run Club,,Encinitas,CA,92024,,http://seasidestridersrunningclub.com,,,,,,,,,,,
Seaside Striders Fall 2021 Session #1,,Encinitas,CA,92024,,http://www.seasidestridersrunningclub.com,,,,,,,,,,,
Seaside Striders Fall Run Club - Session 1,,Encinitas,CA,92024,,http://www.seasidestridersrunningclub.com,,,,,,,,,,,
Seaside Striders Fall Run Club - Session 2,,Encinitas,CA,92024,,http://www.seasidestridersrunningclub.com,,,,,,,,,,,
Seaside Striders Fall Run Club 2022,,Encinitas,CA,92024,,http://www.seasidestridersrunningclub.com,,,,,,,,,,,
Seaside Striders Fall/Holiday Season Session #2,,Encinitas,CA,92024,,http://www.seasidestridersrunningclub.com,,,,,,,,,,,
Seaside Striders Running Club,,Encinitas,CA,92024,,http://www.seasidestridersrunningclub.com,,,,,,,,,,,
Seaside Striders Running Club 2021 Spring Session 1,,Encinitas,CA,92024,,http://www.seasidestridersrunningclub.com,,,,,,,,,,,
Seaside Striders Running Club Spring Session # 2,,Encinitas,CA,92024,,http://www.seasidestridersrunningclub.com,,,,,,,,,,,
Seaside Striders Summer Run Club 2021,,Encinitas,CA,92024,,http://www.seasidestridersrunningclub.com,,,,,,,,,,,
Seaside Striders Winter Run Club 1,,Encinitas,CA,92024,,http://seasidestridersrunningclub.com,,,,,,,,,,,
Sierra Challenge Express Running Club,,Fresno,CA,93730,,,,,,,,,,,,,
Sierra Express Bicycle Club of Nevada County,,Grass Valley,CA,95945,,,,,,,,,,,,,
Sierra TrailBlazers,,Grass Valley,CA,95945,,,,,,,,,,,,,
Six Rivers Running Club,,Arcata,CA,95518,,,,,,,,,,,,,
So Cal Pacers,,Chino Hills,CA,91709,,,,,,,,,,,,,
Sonoma County 2025 NoBoundaries 5K Finish Training,,Santa Rosa,CA,95404,,,,,,,,,,,,,
South Bay Runners Club,,Manhattan Beach,CA,90266,,,,,,,,,,,,,
South Coast Roadrunners,,Irvine,CA,92604,,,,,,,,,,,,,
SSRC 2024 SUMMER RUN CLUB,,Encinitas,CA,92024,,,,,,,,,,,,,
SSRC 2024 Winter Run Club,,Encinitas,CA,92024,,,,,,,,,,,,,
SSRC Early Winter Run Club,,Encinitas,CA,92024,,http://www.seasidestridersrunningclub.com,,,,,,,,,,,
SSRC Winter Run Club - Session 2,,Encinitas,CA,92024,,http://www.seasidestridersrunningclub.com,,,,,,,,,,,
Strawberry Canyon Track Club,,Berkeley,CA,94701,,,,,,,,,,,,,
SWEAT RUNNING CLUB,,REDDING,CA,96099,,,,,,,,,,,,,
Tamalpa Runners,,San Rafael,CA,94913,,,,,,,,,,,,,
TC3-Triathlon Club of Central California,,CLOVIS,CA,93611,,,,,,,,,,,,,
TDG,,Los Angeles,CA,90028,,http://larunclub.com,,,,,,,,,,,
The Lopers Club,,Loma Linda,CA,92350,,,,,,,,,,,,,
The NliveN Movement,,Santa Cruz,CA,95060,,,,,,,,,,,,,
Tulare Joggers,,Tulare,CA,93274,,,,,,,,,,,,,
USA Fit East Bay,,Danville,CA,94526,,http://usafiteastbay.com/,,,,,,,,,,,
USA Fit San Francisco Marathon and Half Marathon Training Program,,San Francisco,CA,94132,,http://www.usafitsanfrancisco.com,,,,,,,,,,,
USA Marathon Training,,Santa Monica,CA,90405,,http://www.USAMarathonTraining.com,,,,,,,,,,,
Vendurance Tribe,,Ventura,CA,93001,,http://www.Vendurance.com,,,,,,,,,,,
Ventura Running Club,,Ventura,CA,93001,,,,,,,,,,,,,
Ventura Running Tribe,,Ventura,CA,93003,,http://www.Vendurance.com,,,,,,,,,,,
Visalia Runners,,Visalia,CA,93279,,,,,,,,,,,,,
Walnut Creek Run Club,,Walnut Creek,CA,94597,,http://www.WalnutCreekRunClub.com,,,,,,,,,,,
Watsonville Kids Running Club,,Freedom,CA,95019,,http://www.watsonvillerunning.org,,,,,,,,,,,
Windsor 5K/10K/Half Marathon 2024,,Santa Rosa,CA,95404,,,,,,,,,,,,,
Windsor Green 10K or Half Marathon Training,,Santa Rosa,CA,95405,,http://fleetfeetsantarosa.com,,,,,,,,,,,
Winters Runners and Walkers Club,,Winters,CA,95694,,,,,,,,,,,,,
Wolfpack Pentathlon Club,,Santa Clara,CA,95054,,,,,,,,,,,,,
Yosemite Running Club,,Mariposa,CA,95338,,http://YosemiteRunningClub.com,,,,,,,,,,,
5280 Runners,,DENVER,CO,80231,,http://5280runners.com,,,,,,,,,,,
Boulder Road Runners,,Boulder,CO,80306,,https://www.bonfire.com/org/boulder-road-runners-742112576/,,,,,,,,,,,
Breckenridge CO Run Club,,Breckenridge,CO,80424,,https://greatruns.com/location/summit-county-co/,,,,,,,,,,,
Colorado Masters Running/Racewalking Association,,Arvada,CO,80007,,,,,,,,,,,,,
Dan Schaefer&#039;s Awesome Marathon Training Club,,Niwot,CO,80503,,,,,,,,,,,,,
Durango Running Club,,Durango,CO,81302,,http://durangorunningclub.org,,,,,,,,,,,
Durango Tri Club,,Durango,CO,81301,,https://www.trisignup.com/MemberOrg/DurangoTriClub/Page/Events,,,,,,,,,,,
Excel Academy,,Arvada,CO,80005,,,,,,,,,,,,,
Fort Collins Running Club,,Fort Collins,CO,80527,,https://horsetooth-half.com/training/,,,,,,,,,,,
Human Potential Running Series,,Arvada,CO,80004,,http://www.HumanPotentialRunning.com,,,,,,,,,,,
Jon Dale&#039;s Coaching,,Denver,CO,80238,,,,,,,,,,,,,
LA Youth Running Club,,Las Animas,CO,81054,,,,,,,,,,,,,
Lawda ello,,Rifle,CO,81650,,,,,,,,,,,,,
No Limits Endurance Coaching,,Anywhere You Are,CO,12345,,,,,,,,,,,,,
NOZERODAYS,,CASTLE ROCK,CO,80109,,https://nozerodays.com/,,,,,,,,,,,
Pikes Peak Road Runners,,Colorado Springs,CO,80903,,,,,,,,,,,,,
Rocky Mountain Road Runners,,Denver,CO,80210,,,,,,,,,,,,,
run.Windsor Run Club,,Windsor,CO,80550,,,,,,,,,,,,,
Running Cardinals,,Parachute,CO,81635,,,,,,,,,,,,,
Severance Striders,,Severance,CO,80550,,,,,,,,,,,,,
Southern Colorado Runners &amp; Triathlon Club,,Pueblo,CO,81008,,,,,,,,,,,,,
Sweetheart City Racing - Yearly Membership,,Loveland,CO,80537,,,,,,,,,,,,,
Telluride Running Club,,Telluride,CO,81435,,http://www.telluriderunningclub.com,,,,,,,,,,,
The Cool Kids,,Boulder,CO,99092,,,,,,,,,,,,,
theBERRY Colorado Hump Day 5K,,DENVER,CO,80220,,,,,,,,,,,,,
Triathlon Season Pass,,Boulder,CO,80301,,,,,,,,,,,,,
USA Fit Denver Marathon and Half Marathon Training Program,,Denver,CO,80209,,http://www.denverfit.com,,,,,,,,,,,
WhitFit,,Fort Collins,CO,80526,,http://www.strengthinlight.com,,,,,,,,,,,
26.2 BY 5.15,,Guilford,CT,06437,,,,,,,,,,,,,
Achieve Coaching for Runners,,Plantsville,CT,06479,,,,,,,,,,,,,
Baby-Sitter&#039;s Club,,Stoneybrook,CT,23230,,https://www.scholastic.com/annmartin/bsc/,,,,,,,,,,,
Club Connecticut,,Norwalk,CT,06850,,,,,,,,,,,,,
Glastonbury River Runners,,Glastonbury,CT,06033,,,,,,,,,,,,,
Greenwich Road Runners,,Greenwich,CT,06830,,,,,,,,,,,,,
Hartford Track Club,,Farmington,CT,06377,,,,,,,,,,,,,
Leading Edge Run Coaching,,Stamford,CT,06903,,,,,,,,,,,,,
Manchester Running Club,,Manchester,CT,06040,,,,,,,,,,,,,
Middlebrook Milers,,Trumbull,CT,06611,,,,,,,,,,,,,
Milford Road Runners,,Milford,CT,06460,,,,,,,,,,,,,
Mohegan Striders,,New London,CT,06320,,,,,,,,,,,,,
Pequot Running Club,,Southport,CT,06890,,,,,,,,,,,,,
Roxbury Road Runners Club,,Roxbury,CT,06783,,,,,,,,,,,,,
Run Club 203,,Middlebury,CT,06762,,,,,,,,,,,,,
ShenipsitStriders,,Ellington,CT,06029,,,,,,,,,,,,,
Team Mossman Triathlon Club,,Hamden,CT,06514,,,,,,,,,,,,,
Team Tribute-Clinton,,Clinton,CT,06413,,,,,,,,,,,,,
Bethany Beach Running Company,,Ocean View,DE,19970,,,,,,,,,,,,,
Fusion Running Club,,Newark,DE,19711,,,,,,,,,,,,,
New Balance Delaware,,Newark,DE,19713,,http://nbretail.com/,,,,,,,,,,,
ODBH WOHA-Run Club,,Wilmington,DE,19807,,,,,,,,,,,,,
STAR Running/Walking Club,,Newark,DE,19713,,http://chs.udel.edu,,,,,,,,,,,
Zipzap athletic run club,,Milford,DE,19963,,http://Zipzap athletic run club,,,,,,,,,,,
"2015 Suncoast Striders Mile Club (2000, 1000, 500)",,Bradenton,FL,34205,,http://www.SuncoastStriders.com,,,,,,,,,,,
3D Running Club,,Tampa,FL,33647,,,,,,,,,,,,,
Ahoy Mates Running Club,,st augustine,FL,32095,,,,,,,,,,,,,
Best Damn Run Club,,Pinellas Park,FL,33782,,https://www.strava.com/clubs/1684183,,,,,,,,,,,
Big Bend Fitness Club,,Perry,FL,32347,,,,,,,,,,,,,
Bradenton Runners Club,,Bradenton,FL,34206,,,,,,,,,,,,,
Brandon Running,,Brandon,FL,33511,,,,,,,,,,,,,
Clermont Triathlon Club,,Clermont,FL,34711,,,,,,,,,,,,,
Coaching,,Pensacola,FL,32534,,,,,,,,,,,,,
Cool Kids Club,,Jacksonville,FL,32256,,,,,,,,,,,,,
Corsair Training,,DEBARY,FL,32713,,,,,,,,,,,,,
Dashers Run Club,,Davie,FL,33328,,http://www.dashersrunning.com,,,,,,,,,,,
Destiny Speed Track Club,,Tallahassee,FL,32303,,,,,,,,,,,,,
Endeavor Running CO.,,Ocala,FL,34471,,,,,,,,,,,,,
Endeavor Running CO. Florida,,Ocala,FL,34471,,,,,,,,,,,,,
Endurance House Jax Training Teams,,Jacksonville,FL,32205,,http://jacksonville.endurancehouse.com/,,,,,,,,,,,
FishHawk Road Runners,,Brandon,FL,33508,,,,,,,,,,,,,
Fit Together Fitness RC,,Zephyrhills,FL,33542,,,,,,,,,,,,,
Fleet Feet Pensacola Run Club,,pensacola,FL,32502,,,,,,,,,,,,,
Fleet Feet Pensacola Tuesday and Thursday Run Club,,Pensacola,FL,32502,,,,,,,,,,,,,
Florida Track,,Gainesville,FL,32607,,http://www.floridatrackclub.org,,,,,,,,,,,
Florida Track Club,,Gainesville,FL,32604,,http://www.floridatrackclub.org/,,,,,,,,,,,
Fort Myers Track Club,,Fort Myers,FL,33906,,,,,,,,,,,,,
Freedom High School Track &amp; Field 2025,,Tampa,FL,33647,,,,,,,,,,,,,
Freedom Running Club,,Lutz,FL,33549,,https://api.leadconnectorhq.com/widget/bookings/freedomrunningclubsxerzkj,,,,,,,,,,,
Friends of LOUD Runners,,Tampa,FL,33609,,,,,,,,,,,,,
"Friends of O&#039;Leno, Inc (&amp; River Rise)",,High Springs,FL,32643,,,,,,,,,,,,,
Friends of the Withlacoochee State Trail,,Inverness,FL,34450,,,,,,,,,,,,,
GCP,,Sarasota,FL,34232,,,,,,,,,,,,,
Glow After Hours Run Club,,Miami,FL,33175,,,,,,,,,,,,,
GoodForm,,Tallahassee,FL,32311,,,,,,,,,,,,,
Gulf Coast Runners,,Naples,FL,34101,,,,,,,,,,,,,
Gulf Winds Track Club,,Tallahassee,FL,32315,,,,,,,,,,,,,
"Happy Trails Run Club, LLC",,Miami,FL,33186,,http://www.happytrailsrc.com,,,,,,,,,,,
HIGH FIVE 305 MIAMI’S VIRTUAL RUN CLUB,,Miami,FL,33133,,,,,,,,,,,,,
Inspired Fitness,,Naples,FL,34113,,,,,,,,,,,,,
ISNP-Kids Run The Nation,,North Port,FL,34289,,http://www.imaginenorthport.com,,,,,,,,,,,
Jamie Bennett Fitness,,Mulberry,FL,33860,,http://jamiebennettfitness.com,,,,,,,,,,,
Kennedy Law Racing Multi-Sport Team,,Palm Harbor,FL,34684,,,,,,,,,,,,,
Key West Southernmost Runners,,Key West,FL,33045,,,,,,,,,,,,,
Kids Love to Run,,Sarasota,FL,34237,,https://kidslovetorun.com/,,,,,,,,,,,
Kids Love to Run 2019,,Sarasota,FL,34237,,https://kidslovetorun.com/,,,,,,,,,,,
Lakeland Runners Club,,Lakeland,FL,33802,,,,,,,,,,,,,
Lakewood Ranch Track and Field,,Bradenton,FL,34211,,,,,,,,,,,,,
Lakewood Ranch XC,,Bradenton,FL,34211,,https://runnergirl.com/lrhs/2025xc_team_handbook.pdf,,,,,,,,,,,
Let&#039;s RUN Together Endurance Coaching,,Orlando,FL,32824,,,,,,,,,,,,,
Loggerhead Curling Club,,Lake Worth,FL,33467,,,,,,,,,,,,,
LOUD Runners,,Tampa,FL,33609,,,,,,,,,,,,,
Manasota Track Club,,Sarasota,FL,34235,,,,,,,,,,,,,
Mustang Milers,,Bradenton,FL,34202,,,,,,,,,,,,,
Naples Area Triathletes,,Naples,FL,34109,,,,,,,,,,,,,
